id;code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches;code_departement;centre;geometry
52;504;MORTAIN;MANCHE;41636;312;1786;5777;8982;58493;11707;0;2991;3708;10509;87408;40;50;;list(c(398644.311447795, 422467.608189093, 417595.622849596, 412038.615415673, 391873.657337058, 398644.311447795, 6856353.21966245, 6850976.88976322, 6821730.35501103, 6818280.63737595, 6833963.12812604, 6856353.21966245))
53;403;SAINT SEVER;LANDES;42739;8886;3511;1708;7134;63978;6556;7806;1561;50551;40684;171136;1793;40;;list(c(390543.395269061, 454519.278582272, 451568.182425857, 420268.639073439, 393559.685868328, 390543.395269061, 6319615.822298, 6294639.63102096, 6287127.09253922, 6277451.60105123, 6294711.6868232, 6319615.822298))
54;643;OLORON;BASSES PYRENEES;17429;443;1079;258;500;19709;18311;3909;1122;94679;48661;186391;76;64;;list(c(408227.302706668, 429146.089061457, 412991.857682874, 405173.225484314, 388869.625235063, 388835.8763202, 399927.778403297, 408227.302706668, 6257556.86248434, 6230184.03858976, 6197310.23226042, 6199282.92143736, 6213277.32104507, 6213282.43189554, 6254618.80486318, 6257556.86248434))
55;332;BLAYE;GIRONDE;21170;3625;562;468;2376;28201;9481;17787;56;3295;12908;71728;210;33;;list(c(413959.223341818, 441965.952589453, 428549.062203538, 374623.016643406, 413959.223341818, 6476463.05277884, 6459270.54696946, 6442019.11420874, 6432883.17653833, 6476463.05277884))
56;533;MAYENNE;MAYENNE;85976;1943;4161;18510;35862;146452;27208;0;817;12806;21922;209205;363;53;;list(c(417595.622849596, 456095.902848096, 463418.75359312, 455864.302743669, 409196.138855901, 412038.615415673, 417595.622849596, 6821730.35501103, 6823734.97969019, 6790540.5035433, 6779021.54053465, 6801104.46666105, 6818280.63737595, 6821730.35501103))
57;491;ANGERS;MAINE ET LOIRE;45758;10438;9110;10182;21252;96740;21410;10582;288;4862;20703;154585;0;49;;list(c(407430.711577543, 429497.814735976, 444380.172419551, 444959.968644415, 451633.666978939, 434782.39191259, 411792.949252862, 407430.711577543, 6717403.31075692, 6734628.38669674, 6737996.06506132, 6736957.4395729, 6705440.20308741, 6682371.90430678, 6694681.57047944, 6717403.31075692))
58;171;JONZAC;CHARENTE INFERIEURE;55818;8590;1477;2673;8361;76919;15929;16920;0;12120;30466;152354;60;17;;list(c(405691.276051955, 424592.993261896, 441169.8800748, 447931.331579044, 441965.952589453, 413959.223341818, 405691.276051955, 6496941.75104033, 6505555.53345267, 6500861.77622976, 6460528.56363911, 6459270.54696946, 6476463.05277884, 6496941.75104033))
59;531;CHATEAU GONTIER;MAYENNE;47456;5198;3030;14025;25786;95495;18479;0;440;1659;10722;126795;4;53;;list(c(401432.225160135, 454635.258610273, 455169.650311948, 444380.172419551, 429497.814735976, 401432.225160135, 6763617.44201162, 6771324.39339194, 6768929.84797174, 6737996.06506132, 6734628.38669674, 6763617.44201162))
60;176;SAINT JEAN D'ANGELY;CHARENTE INFERIEURE;50813;4112;1299;5043;17394;78661;11077;29275;0;1560;19646;140219;1730;17;;list(c(411120.496891479, 436771.653028728, 456138.422757332, 456609.017259581, 431138.929034572, 409560.335393191, 411120.496891479, 6568360.80225914, 6564539.86423317, 6543797.27297649, 6540636.26658967, 6528949.02540453, 6539858.32172955, 6568360.80225914))
61;645;PAU;BASSES PYRENEES;37143;1368;2359;2280;7534;50684;16008;9133;6203;47200;31477;160705;557;64;;list(c(451568.182425857, 454730.363976155, 441673.019508371, 429146.089061457, 408227.302706668, 420268.639073439, 451568.182425857, 6287127.09253922, 6277274.41873031, 6236711.94578474, 6230184.03858976, 6257556.86248434, 6277451.60105123, 6287127.09253922))
62;721;LA FLECHE;SARTHE;50252;11594;4223;9786;26838;102693;15990;4410;531;8466;28109;160199;850;72;;list(c(455169.650311948, 506238.198934388, 507246.688682335, 498613.870821235, 444959.968644415, 444380.172419551, 455169.650311948, 6768929.84797174, 6736046.92113267, 6733565.98204686, 6719775.40532942, 6736957.4395729, 6737996.06506132, 6768929.84797174))
63;791;BRESSUIRE;DEUX SEVRES;54624;9552;2595;6492;33756;107019;23488;5802;72;10490;16401;163272;0;79;;list(c(405515.619364743, 436050.701180355, 453775.644505492, 460572.137821031, 426592.145921697, 405515.619364743, 6634444.30959204, 6678967.97183472, 6666050.5205684, 6645077.2363715, 6621913.35225246, 6634444.30959204))
64;402;MONT DE MARSAN;LANDES;45212;1209;5269;365;5542;57597;9836;6578;687;273129;182040;529867;4474;40;;list(c(369944.265368306, 376084.97206364, 449717.509927035, 453562.135254592, 455875.724286721, 454519.278582272, 390543.395269061, 369944.265368306, 6369805.81723441, 6369911.02778551, 6338885.05579743, 6327874.33917401, 6296828.35168554, 6294639.63102096, 6319615.822298, 6369805.81723441))
