code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches
403;SAINT SEVER ;LANDES;42739;8886;3511;1708;7134;63978;6556;7806;1561;50551;40684;171136;1793
410;LOIR ET CHER;;254662;7906;6592;38931;90014;398105;28413;25592;788;61259;120935;635092;5194
411;BLOIS ;LOIR ET CHER;101598;4042;2323;22211;27017;157191;9852;19391;31;11438;55321;253224;2324
412;ROMORANTIN ;LOIR ET CHER;72519;1925;2529;946;35243;113162;9587;2290;565;45912;38659;210175;2855
413;VENDOME ;LOIR ET CHER;80545;1939;1740;15774;27754;127752;8974;3911;192;3909;26955;171693;15
420;LOIRE;;142360;16449;4881;9857;77283;250830;83664;12673;562;31867;96366;475962;142
421;MONTBRISON ;LOIRE;66712;7081;2316;3282;28003;107394;32522;3346;93;15518;35182;194055;10
422;ROANNE ;LOIRE;52649;4727;1423;3318;39808;101925;26906;6733;23;8533;34342;178462;32
423;SAINT ETIENNE ;LOIRE;22999;4641;1142;3257;9472;41511;24236;2594;446;7816;26842;103445;100
430;HAUTE LOIRE;;136289;21144;1909;3441;65756;228539;91451;5629;264;57745;112597;496225;188
431;BRIOUDE ;HAUTE LOIRE;39557;5917;897;1744;28330;76445;18177;4361;60;18041;40008;157092;10
432;ISSINGEAUX ;HAUTE LOIRE;30251;4477;512;106;13657;49003;23518;373;4;13832;28766;115496;14
433;LE PUY ;HAUTE LOIRE;66481;10750;500;1591;23769;103091;49756;895;200;25872;43823;223637;164
440;LOIRE INFERIEURE;;190075;19516;11352;15895;87204;324042;116128;29583;2632;89101;125971;687457;10098
441;ANCENIS ;LOIRE INFERIEURE;27448;1783;1849;1775;18117;50972;11089;3679;49;1777;11547;79113;0
442;CHATEAUBRIANT;LOIRE INFERIEURE;41589;2000;1257;2922;19250;67018;19584;686;269;20598;31416;139571;37
